force,hospital,outcome,crime_count
Cumbria Constabulary,Ryhope Hospital,Charge/Summons,1
Cumbria Constabulary,West Cumberland Hospital,Charge/Summons,61
Cumbria Constabulary,Westmorland General Hospital,Charge/Summons,5
Cumbria Constabulary,Workington Community Hospital,Charge/Summons,1
Cumbria Constabulary,West Cumberland Hospital,Charge/Summonsed With Alternate Offence,3
Cumbria Constabulary,Westmorland General Hospital,Charge/Summonsed With Alternate Offence,1
Cumbria Constabulary,Penrith Hospital,Community Resolution,1
Cumbria Constabulary,Royal Lancaster Infirmary,Community Resolution,1
Cumbria Constabulary,West Cumberland Hospital,Community Resolution,3
Cumbria Constabulary,Westmorland General Hospital,Community Resolution,3
Cumbria Constabulary,Royal Lancaster Infirmary,"Diversionary, Educational Or Intervention Activity Undertaken",2
Cumbria Constabulary,West Cumberland Hospital,"Diversionary, Educational Or Intervention Activity Undertaken",1
Cumbria Constabulary,Maryport Victoria Cottage Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,2
Cumbria Constabulary,Penrith Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,1
Cumbria Constabulary,West Cumberland Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,2
Cumbria Constabulary,Westmorland General Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,2
Cumbria Constabulary,Workington Community Hospital,Evidential Difficulties Victim Based - Named Suspect Not Identified,1
Cumbria Constabulary,Maryport Victoria Cottage Hospital,Investigation Complete: No Suspect Identified,1
Cumbria Constabulary,Millom Hospital,Investigation Complete: No Suspect Identified,2
Cumbria Constabulary,Penrith Hospital,Investigation Complete: No Suspect Identified,4
Cumbria Constabulary,West Cumberland Hospital,Investigation Complete: No Suspect Identified,31
Cumbria Constabulary,Westmorland General Hospital,Investigation Complete: No Suspect Identified,9
Cumbria Constabulary,Workington Community Hospital,Investigation Complete: No Suspect Identified,4
Cumbria Constabulary,Penrith Hospital,Named Suspect - Further Investigation Not In Public Interest,3
Cumbria Constabulary,Royal Lancaster Infirmary,Named Suspect - Further Investigation Not In Public Interest,1
Cumbria Constabulary,West Cumberland Hospital,Named Suspect - Further Investigation Not In Public Interest,48
Cumbria Constabulary,Westmorland General Hospital,Named Suspect - Further Investigation Not In Public Interest,14
Cumbria Constabulary,Workington Community Hospital,Named Suspect - Further Investigation Not In Public Interest,1
Cumbria Constabulary,Maryport Victoria Cottage Hospital,Named Suspect Identified: Evidential Difficulties - Victim Does Not Support Police Action,1
Cumbria Constabulary,Penrith Hospital,Named Suspect Identified: Evidential Difficulties - Victim Does Not Support Police Action,3
Cumbria Constabulary,West Cumberland Hospital,Named Suspect Identified: Evidential Difficulties - Victim Does Not Support Police Action,124
Cumbria Constabulary,Westmorland General Hospital,Named Suspect Identified: Evidential Difficulties - Victim Does Not Support Police Action,15
Cumbria Constabulary,Workington Community Hospital,Named Suspect Identified: Evidential Difficulties - Victim Does Not Support Police Action,15
Cumbria Constabulary,Maryport Victoria Cottage Hospital,Named Suspect Identified: Victim Supports Police Action But Evidential Difficulties,1
Cumbria Constabulary,Penrith Hospital,Named Suspect Identified: Victim Supports Police Action But Evidential Difficulties,3
Cumbria Constabulary,West Cumberland Hospital,Named Suspect Identified: Victim Supports Police Action But Evidential Difficulties,40
Cumbria Constabulary,Westmorland General Hospital,Named Suspect Identified: Victim Supports Police Action But Evidential Difficulties,5
Cumbria Constabulary,Workington Community Hospital,Named Suspect Identified: Victim Supports Police Action But Evidential Difficulties,1
Cumbria Constabulary,Royal Lancaster Infirmary,Other Agency Delegations,1
Cumbria Constabulary,Workington Community Hospital,Other Agency Delegations,1
Cumbria Constabulary,West Cumberland Hospital,Prosecution Prevented - Named Suspect Too Ill To Prosecute,19
Cumbria Constabulary,Westmorland General Hospital,Prosecution Prevented - Named Suspect Too Ill To Prosecute,13
Cumbria Constabulary,Workington Community Hospital,Prosecution Prevented - Named Suspect Too Ill To Prosecute,2
Cumbria Constabulary,Royal Lancaster Infirmary,Prosecution Prevented - Victim Or Key Witness Dead Or Too Ill To Give Evidence,4
Cumbria Constabulary,West Cumberland Hospital,Prosecution Time Limit Expired,1
Cumbria Constabulary,Westmorland General Hospital,Prosecution Time Limit Expired,1
